Z1_real,Z1_imag,Z1_KK_real
2.71608459549707e-09,-5.21160684253902e-05,2.71608459549707e-09
1.70578028576317e-09,-4.1301092998291e-05,1.70578028576317e-09
1.07127973371253e-09,-3.27304099052378e-05,1.07127973371253e-09
6.72794894612625e-10,-2.59382901163506e-05,6.72794894612625e-10
4.22534801980288e-10,-2.05556513348946e-05,4.22534801980288e-10
2.65364170117101e-10,-1.62900021499901e-05,2.65364170117101e-10
1.66656432672038e-10,-1.290954811929e-05,1.66656432672038e-10
1.04665096790171e-10,-1.02305961106485e-05,1.04665096790171e-10
6.57327311655655e-11,-8.10757245797068e-06,6.57327311655655e-11
4.12820708997587e-11,-6.4251125202641e-06,4.12820708997587e-11
2.59263436576931e-11,-5.09179179238712e-06,2.59263436576931e-11
1.62824994193034e-11,-4.03515791748455e-06,1.62824994193034e-11
1.02258841755341e-11,-3.19779364178328e-06,1.02258841755341e-11
6.42215328730398e-12,-2.53419677358778e-06,6.42215328730398e-12
4.03329943284992e-12,-2.00830760413679e-06,4.03329943284992e-12
2.53302959105203e-12,-1.59154943091492e-06,2.53302959105203e-12
