,Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
76,76,,  3d 19:57:03.06,-4.500114442664,2.4999618524450002,1.39733,1.396571966882,1.0879769671950001,5.0240006028329995,0,0,34.880054473877,27.267490386963,27.267490386963,35.123504638671996,27.334011077880998,34.555458068848,27.300748825073,34.555458068848,43640.4065217593
77,77,,  3d 20:50:34.32,-4.499961852445,2.4999618524450002,1.3968399999999999,1.3963469981310002,1.086281389637,5.023286912435,0,0,34.782676696777,27.250860214232997,27.250860214232997,35.009895324706996,27.334011077880998,34.733985900879,27.334011077880998,34.733985900879,43640.4437004167
78,78,,  3d 21:44:05.37,-4.499961852445,2.499809262226,1.3968700000000005,1.396259498177,1.088913564852,5.022775075399,0,0,34.944976806641,27.317378997803,27.317378997803,35.155963897705,27.317378997803,34.733985900879,27.317378997803,34.733985900879,43640.480876713
79,79,,  3d 22:37:32.81,-4.499885557336,2.499809262226,1.3965299999999998,1.3958594962059998,1.086186021287,5.021105295665,0,0,34.944976806641,27.300748825073,27.284120559692003,35.253345489502,27.267490386963,34.766448974609,27.267490386963,34.766448974609,43640.518011053195
80,80,,  3d 23:31:03.76,-4.499961852445,2.499809262226,1.39642,1.3954095014539998,1.086801256365,5.01917975686,0,0,35.026123046875,27.317378997803,27.250860214232997,35.155963897705,27.300748825073,34.717758178711,27.300748825073,34.717758178711,43640.555186099504
81,81,,  4d 00:24:33.30,-4.499885557336,2.4999618524450002,1.39572,1.3954094786559998,1.088203915961,5.019254052889,0,0,34.977436065674,27.417158126831,27.350637435913,35.074813842773,27.433788299561,34.685298919678004,27.367267608642997,34.685298919678004,43640.5923450347
82,82,,  4d 01:18:03.39,-4.499961852445,2.499809262226,1.39569,1.394971994878,1.084366052379,5.017343965814,0,0,34.944976806641,27.284120559692003,27.284120559692003,35.091045379639,27.300748825073,34.733985900879,27.217601776123,34.733985900879,43640.629510277795
83,83,,  4d 02:11:28.71,-4.499961852445,2.4999618524450002,1.39531,1.394796981665,1.085169718214,5.0165035899,0,0,35.009895324706996,27.334011077880998,27.334011077880998,35.237113952637,27.317378997803,34.782676696777,27.317378997803,34.782676696777,43640.6666203819
84,84,,  4d 03:04:51.94,-4.499961852445,2.499809262226,1.39504,1.3944219709399999,1.0849902548280002,5.014884281754,0,0,34.977436065674,27.334011077880998,27.317378997803,35.220882415771,27.300748825073,34.750217437744006,27.300748825073,34.750217437744006,43640.7037059028
85,85,,  4d 03:58:18.06,-4.499961852445,2.4999618524450002,1.39487,1.3942345300240002,1.084691796153,5.014308606004,0,0,35.058586120605,27.334011077880998,27.334011077880998,35.220882415771,27.383899688720998,34.733985900879,27.350637435913,34.733985900879,43640.7408252315
86,86,,  4d 04:51:43.19,-4.499961852445,2.499656672007,1.39462,1.394046975101,1.086879057467,5.013196500277,0,0,34.977436065674,27.334011077880998,27.300748825073,35.220882415771,27.317378997803,34.831367492676,27.284120559692003,34.831367492676,43640.7779328009
87,87,,  4d 05:45:08.55,-4.499961852445,2.4999618524450002,1.39446,1.3936970042480001,1.085586822678,5.011562497539,0,0,35.026123046875,27.383899688720998,27.334011077880998,35.220882415771,27.383899688720998,34.766448974609,27.300748825073,34.766448974609,43640.8150432755
88,88,,  4d 06:38:35.23,-4.499885557336,2.4999618524450002,1.39396,1.3929219728400002,1.085746742224,5.008821833848,0,0,35.091045379639,27.350637435913,27.350637435913,35.237113952637,27.367267608642997,34.733985900879,27.317378997803,34.733985900879,43640.8521691204
89,89,,  4d 07:32:00.10,-4.500038147555,2.499809262226,1.39331,1.392896968856,1.086593219312,5.008613754798,0,0,34.944976806641,27.334011077880998,27.334011077880998,35.13973236084,27.267490386963,34.717758178711,27.267490386963,34.717758178711,43640.8892736227
90,90,,  4d 08:25:25.34,-4.499809262226,2.499809262226,1.39339,1.392709509583,1.0853077750540001,5.007240841473,0,0,34.944976806641,27.350637435913,27.317378997803,35.123504638671996,27.367267608642997,34.798908233643,27.284120559692003,34.798908233643,43640.9263829977
91,91,,  4d 09:18:52.06,-4.499961852445,2.499809262226,1.39311,1.392246984613,1.0870510037710002,5.005418559519,0,0,35.058586120605,27.300748825073,27.300748825073,35.26957321167,27.317378997803,34.782676696777,27.317378997803,34.782676696777,43640.963509027795
92,92,,  4d 10:12:12.95,-4.499961852445,2.4999618524450002,1.39248,1.392071986276,1.0864827047830001,5.004448056058,0,0,34.977436065674,27.433788299561,27.367267608642997,35.220882415771,27.400526046753,34.717758178711,27.350637435913,34.717758178711,43641.000567581
93,93,,  4d 11:05:36.76,-4.499961852445,2.499809262226,1.39241,1.391871977011,1.089908282828,5.003629961782,0,0,35.009895324706996,27.300748825073,27.300748825073,35.13973236084,27.367267608642997,34.815139770508,27.317378997803,34.815139770508,43641.0376601505
