Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
82,,  4d 00:58:34.54,-4.500038147555,2.4999618524450002,1.40206,1.399484523288,1.1303757408750001,5.025637754187,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.780671875
83,,  4d 01:51:15.12,-4.499885557336,2.499809262226,1.40208,1.401009508022,1.028880080684,5.04787119089,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.8172643403
84,,  4d 02:44:17.05,-4.499809262226,2.499809262226,1.40094,1.4122220408230002,1.0403964611329999,5.086523832472,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.8541033333
85,,  4d 03:37:24.64,-4.499885557336,2.499656672007,1.4126299999999998,1.4091595420910001,1.040749426504,5.066943484019999,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.8910081597
86,,  4d 04:30:03.12,-4.500038147555,2.4999618524450002,1.41027,1.405022041471,1.009458549005,5.060283730301,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.9275762153
87,,  4d 05:24:39.63,-4.500114442664,2.4999618524450002,1.40393,1.407247023427,1.0953564028129998,5.056075525585,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.9655099768
88,,  4d 06:17:36.78,-4.500038147555,2.4999618524450002,1.4068300000000002,1.4002845119679999,1.049010301486,5.03766755058,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43607.0022939931
89,,  4d 07:10:12.76,-4.499961852445,2.499809262226,1.4028,1.4038470536610002,1.0196108028020001,5.055876999774,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2548.92822265625,43607.0388331134
90,,  4d 08:03:40.78,-4.500114442664,2.4999618524450002,1.4036000000000002,1.410134557028,1.141952680167,5.0711707714109995,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43607.0759743287
91,,  4d 08:56:30.24,-4.499961852445,2.4999618524450002,1.41103,1.4026345505039999,1.0177774483020001,5.0502637997579995,0,0,-2549.05883789063,-2548.92822265625,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43607.1126689931
92,,  4d 09:50:53.20,-4.499961852445,2.499656672007,1.4025,1.4032595523309999,1.1160075536579999,5.053119139023,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43607.1504463079
93,,  4d 10:43:50.45,-4.499961852445,2.499809262226,1.40395,1.4016845524250001,1.0616236577959999,5.045277324815,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43607.1872312153
