Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,Date
154,,  6d 16:10:43.70,-4.499885557336,2.4999618524450002,1.38457,1.3768595231619998,1.046317415275,4.93339334432,0,0,43609.4152866319
155,,  6d 17:03:45.48,-4.499961852445,2.4999618524450002,1.37694,1.3833470427990002,1.087367482426,4.965605540444,0,0,43609.4521241551
156,,  6d 17:56:25.05,-4.500038147555,2.4999618524450002,1.38385,1.380146978487,1.043105477319,4.950206307356,0,0,43609.4887046991
157,,  6d 18:49:24.14,-4.500038147555,2.4999618524450002,1.38123,1.383534573845,1.0690476103470001,4.970595984631999,0,0,43609.5255113194
158,,  6d 19:42:07.93,-4.499885557336,2.499809262226,1.3826200000000002,1.377872008285,1.054340569751,4.93928836348,0,0,43609.5621403241
159,,  6d 20:34:58.20,-4.500114442664,2.499809262226,1.37692,1.374959539101,1.095822602768,4.922622229199,0,0,43609.598844722204
160,,  6d 21:28:09.78,-4.500114442664,2.499809262226,1.3756,1.3722720561469999,1.115129661478,4.913523869862,0,0,43609.6357956713
161,,  6d 22:21:06.05,-4.4997329671170005,2.4999618524450002,1.3715600000000001,1.3720719857769998,1.087092333469,4.909756321653,0,0,43609.672569375
162,,  6d 23:14:21.28,-4.500190737774,2.4999618524450002,1.37242,1.371046996767,1.101736136138,4.906310578225,0,0,43609.7095628241
163,,  7d 00:07:36.62,-4.499961852445,2.4999618524450002,1.37189,1.371084520158,1.117528889231,4.907034265371,0,0,43609.746557175895
164,,  7d 01:00:52.99,-4.500038147555,2.499809262226,1.3706,1.3687470299039999,1.094951771587,4.896660198962,0,0,43609.783563645804
165,,  7d 01:54:25.75,-4.499809262226,2.499809262226,1.36916,1.371684493103,1.116453174024,4.907684062843,0,0,43609.8207598495
166,,  7d 02:48:04.57,-4.500114442664,2.4999618524450002,1.37234,1.3725470254449998,1.1068892665780001,4.913187838122,0,0,43609.8580260417
167,,  7d 03:40:52.26,-4.499961852445,2.4999618524450002,1.37344,1.380559556613,1.0748770540200001,4.956169031217,0,0,43609.894700625
168,,  7d 04:33:26.99,-4.500038147555,2.4999618524450002,1.38198,1.376047018321,1.040820809155,4.935387510857,0,0,43609.931225092594
169,,  7d 05:25:57.78,-4.499885557336,2.4999618524450002,1.3764899999999998,1.379347027059,1.038125091381,4.9473550411080005,0,0,43609.9677038079
170,,  7d 06:18:22.63,-4.499885557336,2.4999618524450002,1.37973,1.3766470248640001,1.0291762800370001,4.940107433667,0,0,43610.0041139699
171,,  7d 07:10:54.50,-4.500114442664,2.4999618524450002,1.37675,1.3806595267100001,1.039556456674,4.952105816449,0,0,43610.040605162
172,,  7d 08:03:27.94,-4.500114442664,2.499809262226,1.38104,1.3800095648969999,1.03274444828,4.949001198455,0,0,43610.0771149769
173,,  7d 08:55:55.34,-4.500114442664,2.4999618524450002,1.38026,1.376522025605,1.031918231511,4.93642131809,0,0,43610.1135544444
174,,  7d 09:49:25.68,-4.499961852445,2.4999618524450002,1.3755499999999998,1.372797016195,1.113111925663,4.9158976208350005,0,0,43610.150722592596
175,,  7d 10:42:16.49,-4.499961852445,2.499656672007,1.37321,1.378097071387,1.07080117374,4.940636400308,0,0,43610.1874331713
176,,  7d 11:34:50.93,-4.499961852445,2.499809262226,1.37895,1.372822018384,1.045026127112,4.920403984151,0,0,43610.2239543866
177,,  7d 12:27:37.12,-4.500114442664,2.4999618524450002,1.3727699999999998,1.3784970196489998,1.057872511022,4.9436731224059995,0,0,43610.2606114236
178,,  7d 13:20:14.99,-4.5002670328829995,2.499809262226,1.3791200000000001,1.3755470300389998,1.043807684876,4.927249831846,0,0,43610.2971722454
179,,  7d 14:12:54.14,-4.499885557336,2.499809262226,1.37553,1.376122033826,1.048790486763,4.930747002525,0,0,43610.3337479051
