Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
27,,  2d 00:07:39.60,-4.500038147555,2.499809262226,1.4137499999999998,1.412984530298,1.127494083543,5.088034440885,0,0,36.405662536621,27.649971008301,27.649971008301,36.73025894165,27.649971008301,36.145984649658,27.633342742920004,36.145984649658,43624.4468384838
28,,  2d 01:02:02.11,-4.499809262226,2.499504081788,1.41347,1.412909535032,1.126306550255,5.0875838851849995,0,0,36.438121795654,27.649971008301,27.649971008301,36.649108886719,27.649971008301,36.145984649658,27.649971008301,36.145984649658,43624.484610370404
29,,  2d 01:56:20.95,-4.500114442664,2.4999618524450002,1.41331,1.412747038739,1.1248949372,5.087119313086,0,0,36.438121795654,27.600082397460998,27.600082397460998,36.665340423584,27.600082397460998,36.145984649658,27.600082397460998,36.145984649658,43624.5223401273
30,,  2d 02:50:39.80,-4.500038147555,2.499809262226,1.41325,1.412684564779,1.1241553003740001,5.0867708678909995,0,0,36.405662536621,27.68323135376,27.649971008301,36.73025894165,27.666601181029996,36.210903167725,27.649971008301,36.210903167725,43624.5600693287
31,,  2d 03:44:57.29,-4.499961852445,2.499809262226,1.4131399999999998,1.412184540082,1.122084463812,5.08474977889,0,0,36.535499572754,27.68323135376,27.666601181029996,36.795177459717,27.649971008301,36.178443908691,27.633342742920004,36.178443908691,43624.597783159705
32,,  2d 04:39:11.05,-4.500114442664,2.4999618524450002,1.41271,1.4122720261200001,1.120943790906,5.084964037167,0,0,36.45435333252,27.666601181029996,27.666601181029996,36.73025894165,27.68323135376,36.145984649658,27.666601181029996,36.145984649658,43624.635453587995
33,,  2d 05:33:23.54,-4.499885557336,2.499809262226,1.41284,1.412084526717,1.11876522703,5.084152776715,0,0,36.389430999755994,27.633342742920004,27.61671257019,36.811408996581996,27.600082397460998,36.210903167725,27.600082397460998,36.210903167725,43624.673109375
34,,  2d 06:27:35.16,-4.499809262226,2.499809262226,1.41237,1.411522037464,1.118172508691,5.081942248969,0,0,36.45435333252,27.61671257019,27.583454132079996,36.746490478516,27.61671257019,36.178443908691,27.583454132079996,36.178443908691,43624.7107553588
35,,  2d 07:21:46.50,-4.500038147555,2.499656672007,1.412,1.4114970549939998,1.119168664653,5.081735972812,0,0,36.470581054688,27.68323135376,27.68323135376,36.762718200684,27.666601181029996,36.178443908691,27.649971008301,36.178443908691,43624.7483981134
36,,  2d 08:15:54.85,-4.500190737774,2.499504081788,1.412,1.411447010551,1.119164815805,5.081695464694,0,0,36.438121795654,27.583454132079996,27.583454132079996,36.795177459717,27.600082397460998,36.210903167725,27.600082397460998,36.210903167725,43624.7860059606
37,,  2d 09:10:03.53,-4.500038147555,2.4999618524450002,1.41202,1.411334545931,1.115052157199,5.081349596858,0,0,36.503040313721,27.7331199646,27.7331199646,36.778949737549,27.749748229979996,36.275825500488,27.716489791870004,36.275825500488,43624.8236176042
38,,  2d 10:04:10.87,-4.499961852445,2.499809262226,1.41169,1.411059520031,1.11777531574,5.080204900572,0,0,36.584190368652,27.783008575439,27.783008575439,36.86009979248,27.749748229979996,36.308284759521,27.7331199646,36.308284759521,43624.8612138657
39,,  2d 10:58:17.39,-4.499961852445,2.499809262226,1.41129,1.410609518631,1.1140690971559999,5.078392227628,0,0,36.567962646484,27.666601181029996,27.666601181029996,36.925018310546996,27.666601181029996,36.275825500488,27.649971008301,36.275825500488,43624.8988009144
40,,  2d 11:52:22.61,-4.499809262226,2.499809262226,1.41105,1.4103470281580002,1.112717556904,5.077176297843001,0,0,36.535499572754,27.68323135376,27.666601181029996,36.778949737549,27.68323135376,36.292053222656,27.633342742920004,36.292053222656,43624.9363725116
41,,  2d 12:46:25.20,-4.499809262226,2.4999618524450002,1.41076,1.410097038976,1.1114444961399998,5.0761097487110005,0,0,36.567962646484,27.61671257019,27.61671257019,36.82763671875,27.600082397460998,36.340740203857,27.583454132079996,36.340740203857,43624.9739140625
